function_id,tag_jp,tag_en,tag_cn,description_jp,product_count,ingredient_count,keywords
F01,腸内環境,Gut Health,肠道健康,腸内環境の改善・便通サポート,714,140,腸内|腸内フローラ|腸内環境|おなかの調子|便通|整腸|排便|便秘|軟便
F02,血糖値,Blood Sugar,血糖调节,食後の血糖値上昇を緩やかに,839,121,血糖値|食後血糖|血糖|糖の吸収
F03,血圧,Blood Pressure,血压,正常な血圧の維持サポート,597,99,血圧|高めの血圧
F04,中性脂肪,Triglycerides,甘油三酯,血中中性脂肪の低下サポート,758,109,中性脂肪|脂肪の吸収|脂質
F05,体脂肪,Body Fat,体脂肪,体脂肪・内臓脂肪の低減サポート,1196,182,体脂肪|内臓脂肪|腹部脂肪|ウエスト|BMI|肥満|脂肪の燃焼|燃焼|エネルギー代謝
F06,コレステロール,Cholesterol,胆固醇,LDLコレステロールの低下サポート,182,57,コレステロール|LDL
F07,認知機能,Cognitive Function,认知功能,記憶力・認知機能のサポート,546,106,認知機能|記憶力|物忘れ|認知|記憶・学習
F08,集中力,Concentration,专注力,集中力・注意力のサポート,265,72,集中力|注意力|判断|仕事の効率
F09,睡眠,Sleep Quality,睡眠质量,睡眠の質の改善サポート,719,135,睡眠|入眠|眠り|睡眠の質|起床時
F10,リラックス,Stress Relief,放松减压,ストレス・緊張の緩和サポート,790,121,リラックス|ストレス|精神的ストレス|緊張
F11,疲労感,Anti-Fatigue,抗疲劳,疲労感の軽減・活力サポート,1013,174,疲労|疲れ|だるさ|活力|スタミナ
F12,骨の健康,Bone Health,骨骼健康,骨密度・骨の健康サポート,339,74,骨|カルシウム|骨密度|骨の健康
F13,関節,Joint Health,关节健康,関節・軟骨の健康サポート,390,88,関節|軟骨|ひざ|膝|関節の動き
F14,目の健康,Eye Health,眼部健康,目の健康・視力サポート,881,139,目|眼|視力|ピント|ルテイン|アスタキサンチン|ブルーライト
F15,肌の健康,Skin Health,皮肤健康,肌の潤い・ハリのサポート,869,170,肌|皮膚|潤い|うるおい|美容|素肌|ハリ|弾力|バリア機能|肌の水分
F16,免疫,Immunity,免疫力,免疫機能のサポート,161,34,免疫|感染|風邪
F17,抗酸化,Antioxidant,抗氧化,酸化ストレスへの対抗サポート,174,53,抗酸化|酸化ストレス|活性酸素
F18,更年期,Menopause,更年期,更年期症状の緩和サポート,2,1,更年期|ほてり|のぼせ|ホットフラッシュ
F19,筋肉,Muscle Health,肌肉健康,筋肉量・筋力のサポート,415,104,筋肉|筋力|サルコペニア|運動|たんぱく質
F20,血流,Blood Circulation,血液循环,血流・血行のサポート,251,78,血流|血行|末梢血流|冷え|むくみ|浮腫
F21,肝機能,Liver Health,肝脏健康,肝機能のサポート,71,16,肝臓|肝機能|ALT|AST
F22,尿酸値,Uric Acid,尿酸水平,尿酸値のコントロールサポート,93,26,尿酸値|尿酸|プリン体
F23,口腔ケア,Oral Health,口腔健康,口腔内の健康サポート,19,9,口腔|歯|歯周|口臭|虫歯
F24,鉄分,Iron,铁元素,鉄分補給・貧血予防サポート,22,6,鉄|貧血|ヘモグロビン
F25,育毛,Hair Growth,育发,頭皮・発毛のサポート,3,1,育毛|発毛|薄毛|頭皮
F26,アレルギー,Allergy Relief,抗过敏,アレルギー症状の緩和サポート,90,34,花粉|アレルギー|アレルゲン
F27,血管の健康,Vascular Health,血管健康,血管の健康・弾力性のサポート,74,28,血管|動脈硬化|血管の健康
F28,妊活・妊娠期,Pregnancy Support,备孕,妊活・妊娠期のサポート,21,12,葉酸|妊娠|胎児|月経前|PMS|晴れない気分
