届出番号,商品名,届出者名,機能性関与成分名,表示しようとする機能性
A1,腸活乳酸菌サプリ,○○製薬,ビフィズス菌BB12,腸内フローラのバランスを整え、便通を改善する機能があります。
A2,快眠GABAサプリ,△△健康,GABA,睡眠の質（眠りの深さ）を改善する機能があります。ストレスを緩和する機能があります。
A3,EPA・DHAサプリ,□□フーズ,EPA・DHA,中性脂肪を低下させる機能があります。
A4,りんごポリフェノール,◇◇コーポ,りんご由来プロシアニジン,食後の血中中性脂肪の上昇を抑える機能があります。
A5,ルテインサプリ,★★バイオ,ルテイン・ゼアキサンチン,目の黄斑部の色素量を維持し、コントラスト感度（光の明暗の差を感知する能力）を改善する機能があります。
A6,緑茶カテキン,◆◆製茶,緑茶カテキン,体脂肪を減らす機能があります。
A7,難消化性デキストリン配合,▲▲産業,難消化性デキストリン,食後の血中中性脂肪の上昇をおだやかにする機能があります。食事から摂取した脂肪の吸収を抑える機能があります。
A8,コラーゲンペプチド,■■コラーゲン,魚由来コラーゲンペプチド,肌の保湿感（水分保持量）を保つ機能があります。
A9,関節ケアグルコサミン,○○ジョイント,N-アセチルグルコサミン/コンドロイチン,関節や軟骨の成分の産生を促し、膝関節の不快感を軽減する機能があります。
A10,認知機能サポート,△△メモリ,イチョウ葉由来フラボノイド配糖体・テルペンラクトン,認知機能（記憶力・判断力）を維持する機能があります。
